title,degree,type,b_m_student,start_date,year,thesis_title
2025-msc-thesis-323241,msc,thesis,yes,2025-02-17,2025,Business Plan Development for Waste Management System in Cape Maclear
2025-msc-thesis-322515,msc,thesis,yes,2025-02-10,2025,Development of a preference elicitation framework for health providers’ energy preferences and finding optimal critical load sets
2025-msc-thesis-125553,msc,thesis,yes,2025-02-10,2025,Development of a Low-Cost Multiple-Wavelength Black Carbon Monitor
2025-msc-thesis-522464,msc,thesis,yes,2025-03-03,2025,Dataset Creation on the Energy Characteristics of Healthcare Appointments
2025-msc-case-study-361263,msc,case-study,yes,2025-01-10,2025,The role of language and its implications on extending colonialism and hindering cross-cultural cooperation.
2025-mob-student-622264,mob,student,no,2025-02-24,2025,Guidline to Injection Molding
2025-msc-thesis-556456,msc,thesis,yes,2025-03-03,2025,Black soldier fly larvae counting: hardware & software development
2025-msc-thesis-564235,msc,thesis,yes,2025-04-01,2025,Plastic for recycling cleaning
2025-msc-thesis-463453,msc,thesis,yes,2025-06-01,2025,Power quality and reliability database of Malawi’s healthcare facilities
2025-msc-thesis-132155,msc,thesis,yes,2025-06-01,2025,Medical device database for Malawi’s healthcare facilities
2025-bsc-thesis-314445,bsc,thesis,yes,2025-03-03,2025,RFID solution for e-bike charging in Nairobi
2025-staff-intern-365363,staff,intern,no,2025-03-10,2025,Automated mycelium growth detection
2025-staff-intern-445314,staff,intern,no,2025-03-01,2025,NA
2025-msc-sem-proj-421264,msc,sem-proj,yes,2025-04-07,2025,Life Cycle Assessment of the biogas monitoring technologies
2025-staff-scientific-assistant-335532,staff,scientific-assistant,no,2025-04-01,2025,NA
2025-msc-thesis-661611,msc,thesis,yes,2025-03-27,2025,"Design, Numerical Optimization and Implementation of a Sludge Pasteurization System"
2025-msc-case-study-533334,msc,case-study,yes,2025-03-27,2025,Indigenous food production in Puerto Rico
2025-phd-thesis-261544,phd,thesis,no,2025-04-01,2025,Treatment of Biogas effluent
2025-msc-thesis-151453,msc,thesis,yes,2025-05-07,2025,Plastic sorting in Blantyre
