name,doi,doi_dummy,publication_type,publication_type_group,date_issued,year,license,license_short,license_short_group
"Innovating traditional building materials in Chembe, Malawi: assessing post-consumer waste glass and burnt clay bricks for performance and circularity",https://doi.org/10.3929/ethz-b-000493683,Has DOI,Journal Article,Scientific Article,2021,2021,Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International,CC BY-NC-ND 4.0,CC BY 4.0
"""We are from there, that's our land"": contestation, maize, and the problemisation of waste at Blantyre, Malawi's Mzedi dumpsite",https://doi.org/10.3929/ethz-b-000537933,Has DOI,Journal Article,Scientific Article,2022-05,2022,Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International,CC BY-NC-ND 4.0,CC BY 4.0
durbanplasticwaste: Durban (South Africa) Plastic Waste Data,NA,No DOI,Dataset,Dataset,2023-04-28,2023,No license,No license,No license
"Development of a Low-Cost Incinerator in Cape Maclear, Malawi",https://doi.org/10.3929/ethz-b-000670633,Has DOI,Master Thesis,Student Paper,2024-04,2024,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
"“My Flight Arrives at 5 am, Can You Pick Me Up?”: The Gatekeeping Burden of the African Academic",https://doi.org/10.3929/ethz-b-000493677,Has DOI,Journal Article,Scientific Article,2021,2021,Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International,CC BY-NC-ND 4.0,CC BY 4.0
Life cycle assessment of household biogas digesters: A preliminary study on emissions and system interdependencies,https://doi.org/10.3929/ethz-b-000728014,Has DOI,Student Paper,Student Paper,2024-12,2024,In Copyright - Non-Commercial Use Permitted,Copyright,Copyright
Optimizing the HDPE recycling process for ArtMalawi,https://doi.org/10.3929/ethz-b-000726504,Has DOI,Master Thesis,Student Paper,2024,2024,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
"Blood flows: mapping journeys of menstrual waste in Blantyre, Malawi",https://doi.org/10.3929/ethz-b-000493505,Has DOI,Journal Article,Scientific Article,2022,2022,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
"Overflowing and underfuelled - The state of municipal solid waste management in Blantyre, Malawi",https://doi.org/10.3929/ethz-b-000683349,Has DOI,Other Publication,Other publication,2024-02,2024,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
"Optimizing Municipal Solid Waste Management in Blantyre, Malawi using Mixed-Integer Linear Programming",https://doi.org/10.3929/ethz-b-000694404,Has DOI,Bachelor Thesis,Student Paper,2024,2024,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
"Effect of Various Organic Fertilisers on Phosphorus Mineralisation, Use Efficiency and Maize Yield",https://doi.org/10.3929/ethz-b-000579154,Has DOI,Journal Article,Scientific Article,2022-10,2022,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
Investigating the Optimization Potential of Brick Clamps in Malawi,https://doi.org/10.3929/ethz-b-000580955,Has DOI,Student Paper,Student Paper,2022,2022,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
"Construction of a Glass Crusher and Evaluation of Waste Valorization Pathways for Cape Maclear, Malawi",https://doi.org/10.3929/ethz-b-000670971,Has DOI,Master Thesis,Student Paper,2024-04-22,2024,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
"Willingness to Pay and Economic Feasibility for Waste Management in Cape Maclear, Malawi",https://doi.org/10.3929/ethz-b-000670969,Has DOI,Master Thesis,Student Paper,2024-05-02,2024,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
Examination of the potential for recycling of absorbent hygiene product waste in South Africa,https://doi.org/10.3929/ethz-b-000725863,Has DOI,Student Paper,Student Paper,2024,2024,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
Design and Validation of a Thermal Disinfection Unit for Wastewater using Biogas in Humanitarian Crisis Situations,https://doi.org/10.3929/ethz-b-000603416,Has DOI,Student Paper,Student Paper,2022,2022,Creative Commons Attribution 4.0 International,CC BY 4.0,CC BY 4.0
